,roles,companies,locations,experience,skills,skill index
1901,Data scientist,CHANGE LEADERS CONSULTING,'Bangalore',5-9 ,"['_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
1902,ML Engineer/Data Scientist,Rapid Talent Solutions,"'Kolkata', ' Mumbai', ' Visakhapatnam', ' Hyderabad', ' Pune', ' Chennai', ' Ahmedabad', ' Delhi ', 'Bangalore'",6-11 ,"['_', '_', '_', 'python', '_', 'it skills', '_', 'data science', '_', 'machine learning', '_', 'big data', '_', '_', '_', '_', '_']",-1.0
1903,Junior Data Scientist with Python Expertise,India-Israel Innovation HUB-TeamScale- SATC Marketing India Pvt Ltd,'Gurgaon',2-7 ,"['_', '_', '_', 'python', '_', 'machine learning', '_', 'it skills', '_', '_', '_', '_', '_', 'big data', '_', 'data science', '_']",-1.0
1904,Data Scientist,Snaphunt,'Bangalore',0-2 ,"['_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1905,Data Scientist,Casepoint,'Surat\n',0-3 ,"['_', 'data science', '_', 'machine learning', '_', 'python', '_', '_', '_', 'r', '_', '_', '_', '_', '_', '_', '_']",-1.0
1906,data scientist,Global Talent Pool,'Bangalore',0-2 ,"['_', '_', '_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1907,Data Scientist - Fintech Space ( Asset Leasing Company),The Recruiters,'Remote',4-9 ,"['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'data scientist', '_']",-1.0
1908,Data Scientist (Fintech),Talent Destination,'Gurgaon',1-5 ,"['_', '_', '_', 'data science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_']",-1.0
1909,Data Scientist,2Coms,"'Bangalore', 'BangaloreNorth'",6-11 ,"['_', 'it skills', '_', 'python', '_', '_', '_', 'data scientist', '_']",-1.0
1910,Data Scientist,Cielo Talent Management Ltd,'Bangalore',5-10 ,"['_', 'data science', '_', '_', '_', 'java', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1911,Data scientist,CHANGE LEADERS CONSULTING,'Bangalore',3-7 ,"['_', 'python', '_', 'artificial intelligence', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', 'it skills', '_', '_', '_']",-1.0
